,C(10) - C(11),C(11) - C(12),C(12) - C(13),C(13) - N(1),C(14) - C(15),C(15) - C(20),C(16) - C(17),C(17) - C(20),C(19) - C(20),C(2) - C(7),C(20) - C(19),C(20) - C(21),C(21) - C(20),C(21) - N(4),C(21) - O,C(3) - C(14),C(5) - C(6),C(5) - N(4),C(7) - C(2),C(7) - C(8),C(8) - (C9),C(8) - C(13),C(8) - C(7),C(9) - C(10),C(9) - C(8),H - C(21),H - N(1),N - C(21),N(1) - C(2),N(4) - C(3),N(4) - C(5),O - C(16),O - C(21),OH - C(7)
C(10) - C(11),X,C(10)-C(11)-C(12),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(11) - C(12),X,X,C(11)-C(12)-C(13),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(12) - C(13),X,X,X,C(12)-C(13)-N(1),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(13) - C(12),X,X,C(13)-C(12)-C(13),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(13) - N(1),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(13)-N(1)-C(2),X,X,X,X,X
C(14) - C(15),X,X,X,X,X,C(14)-C(15)-C(20),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(15) - C(20),X,X,X,X,X,X,X,X,X,X,C(15)-C(20)-C(19),C(15)-C(20)-C(21),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(16) - C(17),X,X,X,X,X,X,X,C(16)-C(17)-C(20),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(17) - C(20),X,X,X,X,X,X,X,X,X,X,C(17)-C(20)-C(19),C(17)-C(20)-C(21),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(19) - C(18),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(2) = O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(2)=O-C(16),C(2)=O-C(21),X
C(2) - C(7),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(2)-C(7)-C(2),C(2)-C(7)-C(8),X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(20) - C(15),X,X,X,X,X,C(20)-C(15)-C(20),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(20) - C(17),X,X,X,X,X,X,X,C(20)-C(17)-C(20),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(20) - C(19),X,X,X,X,X,X,X,X,C(20)-C(19)-C(20),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(20) - C(21),X,X,X,X,X,X,X,X,X,X,X,X,C(20)-C(21)-C(20),C(20)-C(21)-N(4),C(20)-C(21)-O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(21) - C(20),X,X,X,X,X,X,X,X,X,X,C(21)-C(20)-C(19),C(21)-C(20)-C(21),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(21) - H,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(21)-H-C(21),C(21)-H-N(1),X,X,X,X,X,X,X
C(21) - N,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(21)-N-C(21),X,X,X,X,X,X
C(21) - O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(21)-O-C(16),C(21)-O-C(21),X
C(3) - C(14),X,X,X,X,C(3)-C(14)-C(15),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(5) - C(6),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(6) - C(7),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(6)-C(7)-C(2),C(6)-C(7)-C(8),X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(7) - C(2),X,X,X,X,X,X,X,X,X,C(7)-C(2)-C(7),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(7) - C(6),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(7) - OH,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(7)-OH-C(7)
C(8) - C(13),X,X,X,C(8)-C(13)-N(1),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(8) - C(7),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C(8)-C(7)-C(2),C(8)-C(7)-C(8),X,X,X,X,X,X,X,X,X,X,X,X,X,X
C(9) - C(10),C(9)-C(10)-C(11),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
N(1) - C(13),X,X,X,N(1)-C(13)-N(1),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
N(1) - C(2),X,X,X,X,X,X,X,X,X,N(1)-C(2)-C(7),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
N(4) - C(21),X,X,X,X,X,X,X,X,X,X,X,X,N(4)-C(21)-C(20),N(4)-C(21)-N(4),N(4)-C(21)-O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
N(4) - C(3),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,N(4)-C(3)-C(14),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
O - C(16),X,X,X,X,X,X,O-C(16)-C(17),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
